,식당명,대표메뉴,주소
355,코퍼룸,수제버거,서울특별시 강남구 삼성동 112-5
356,파이어벨,수제버거,서울특별시 강남구 대치동 908-17
357,피터팬1978,동네 빵집 #단팥빵 #베이커리,서울특별시 서대문구 연희동 90-5
358,아티장베이커스,빵집 #사워도우 #베이커리,서울특별시 서초구 반포동 90-11
359,악소,빵집 #브룃헨 #베이커리,서울특별시특별시 용산구 한남동 72-1
360,로리스더프라임립,스테이크,서울특별시 서초구 서초동 1317-27 GT타워 3층
361,볼트스테이크하우스,스테이크,서울특별시 강남구 청담동 95-15 2층
362,부첼리하우스,스테이크,서울특별시 용산구 한남동 1-90
363,엽기꼼닭발,숯불 닭발,서울특별시 성동구 도선동 50
364,재구네 닭발,연탄불 닭발,서울특별시 중구 신당동 132-31
365,전국통일닭발,국물 닭발,서울특별시 동대문구 장안동 433-15
366,죽변항,물회,서울특별시 성동구 성수동 상원길 40
367,고모네 원조 콩탕 북어찜,콩국수,서울특별시 강동구 성내동 413-13
368,왕자장어,장어,서울특별시 강남구 신사동 646-16 1층
369,비야게레로,멕시코 음식,서울특별시 강남구 봉은사로 78길 12
370,바토스,멕시코 음식,서울특별시 용산구 이태원로 15길1 2층
371,엘피노 323,멕시코 음식,서울특별시 용산구 녹사평대로 220 2층
372,정인면옥,냉면,서울특별시 영등포구 여의도동 국회대로 76길
373,진미평양냉면,냉면,서울특별시 강남구 논현동 115-10
374,함흥에 겨울냉면,냉면,서울특별시 중구 장충동 2가 동호로24길 21
375,박군자 진주냉면,냉면,서울특별시 송파구 방이동 180-3 2층
376,무삼면옥,막국수,서울특별시 마포구 마포대로 12길 50
377,남경막국수,막국수,서울특별시 송파구 백제고분로길7길 52-29
378,양양 메밀막국수,막국수,서울특별시 서초구 동광로15길 10 광원빌딩
379,바네하임,맥주 안주,서울특별시 노원구 공릉동 공릉로 32길 54
380,크래프트루,맥주 안주,서울특별시 종로구 익선동 166-57
381,갓포치유,맥주 안주,서울특별시 강남구 언주로 164길 34-2
382,옥경이네 건생선,민어,서울특별시 중구 황학동 380 퇴계로85길 11
383,병우네 민어탕,민어,서울특별시 종로구 팔판동 14
384,상도 실내 포장마차,오징어,서울특별시 동작구 상도동 상도로 278
385,고운님,오징어,서울특별시 강남구 대치동 894-5번지
386,성일정육점,김치찌개,서울특별시 성동구 성수동 왕십리로 14길 34-3
387,옛집,김치찌개,서울특별시 광진구 광장동 326-9
388,옛골,김치찌개,서울특별시 강남구 역삼동 605-9
389,진남포면옥,백숙,서울특별시 중구 약수동 다산로 108 
390,팜티진 쌀국수,베트남 음식,서울특별시 성동구 도선동 무학로6길 50 성동삼성쉐르빌
391,프롬하노이,베트남 음식,서울특별시 마포구 망원동 411-8 1층
392,사이공리,베트남 음식,서울특별시 동작구 노량진동 장승배기로19길 16
393,명봉 샤브샤브 양꼬치,양꼬치,서울특별시 광진구 자양동 4-1
394,미쓰양꼬치,양꼬치,서울특별시 강남구 테헤란로 64길 26 2층 대치동 897-27
395,이태원양꼬치,양꼬치,서울특별시 용산구 이태원로 20길 22 한남동 683-123
396,정원 송파나루,갈치,서울특별시 송파구 석촌동 2-1
397,남도포장마차,실내포장마차,서울특별시 관악구 청룡동 914-27
398,서촌 안주마을,실내포장마차,서울특별시 종로구 내자동 1-2
399,짱이네 산곰장어,실내포장마차,서울특별시 강남구 언주로 605 논현동 237-5
400,메종엠오,디저트,서울특별시 서초구 방배로26길 22 방배동 876-41
401,스코프,디저트,서울특별시 종로구 누하동 90-2
402,보성식당,청국장,서울특별시 동작구 동작대로17길 3 사당1동 1008-15
403,청국장서갈비,청국장,서울특별시 강남구 대치동 897-3 선릉로 420
404,배꼽집,갈비탕,서울특별시 마포구 상암동 1597번지
405,논밭골,갈비탕,서울특별시 관악구 봉천동 915-26
406,남포면옥,갈비탕,서울특별시 중구 을지로3길 24 다동 125
407,신복촌,해물탕,서울특별시 영등포구 여의도동 국제금융로8길 19
408,성수아구찜탕,해물탕,서울특별시 성동구 성수1가 1동 656-318
